Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
65.0,65,2023-03-07,22-060,HOU,BRK,1,26.85,4.0,7.0,0.571,0.0,2.0,0.0,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,8.0,5.2,-18,5.0,4.0,0.8,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,5.0,32.0,1.7777777777777777,5.199999999999998,44.3,2.461111111111111,0.1144147120361193,L (-14),L (-14)
66.0,66,2023-03-09,22-062,HOU,IND,1,32.5,9.0,13.0,0.692,0.0,0.0,,5,8.0,0.625,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,23.0,19.7,-10,13.0,9.0,0.6923076923076923,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,56.0,3.111111111111111,17.7,66.10000000000001,3.672222222222224,0.1144147120361193,W (+12),W (+12)
67.0,67,2023-03-11,22-064,HOU,CHI,1,30.566666666666663,6.0,11.0,0.545,2.0,4.0,0.5,2,3.0,0.667,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,16.0,9.9,-8,7.0,4.0,0.5714285714285714,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,3.0,64.0,3.555555555555556,9.1,72.39999999999999,4.022222222222222,0.1144147120361193,W (+32),W (+32)
68.0,68,2023-03-13,22-066,HOU,BOS,1,39.81666666666667,8.0,13.0,0.615,1.0,6.0,0.167,3,5.0,0.6,4.0,4.0,8.0,1.0,1.0,0.0,1.0,2.0,20.0,17.2,2,7.0,7.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,59.0,3.2777777777777777,15.999999999999996,68.5,3.8055555555555554,0.1144147120361193,L (-22),L (-22)
69.0,69,2023-03-15,22-068,HOU,LAL,1,32.96666666666667,7.0,11.0,0.636,0.0,2.0,0.0,2,2.0,1.0,2.0,6.0,8.0,3.0,1.0,0.0,4.0,3.0,16.0,12.2,-1,9.0,7.0,0.7777777777777778,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,59.0,3.2777777777777777,11.400000000000002,67.1,3.7277777777777774,0.1144147120361193,L (-9),L (-9)
70.0,70,2023-03-17,22-070,HOU,NOP,1,30.28333333333333,4.0,7.0,0.571,1.0,2.0,0.5,5,6.0,0.833,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,13.3,-27,5.0,3.0,0.6,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,67.0,3.7222222222222223,11.3,75.8,4.211111111111111,0.1144147120361193,L (-8),L (-8)
71.0,71,2023-03-19,22-072,HOU,NOP,1,27.98333333333333,3.0,5.0,0.6,2.0,4.0,0.5,0,0.0,,1.0,4.0,5.0,0.0,0.0,0.0,1.0,3.0,8.0,5.4,-8,1.0,1.0,1.0,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,31.0,1.7222222222222223,5.399999999999998,54.7,3.038888888888889,0.1144147120361193,W (+2),W (+2)
72.0,72,2023-03-20,22-073,HOU,GSW,1,32.53333333333333,5.0,12.0,0.417,0.0,4.0,0.0,3,3.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,13.0,10.6,-8,8.0,5.0,0.625,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,41.0,2.2777777777777777,9.400000000000002,59.6,3.311111111111112,0.1144147120361193,W (+4),W (+4)
73.0,73,2023-03-22,22-075,HOU,MEM,1,38.75,12.0,18.0,0.667,2.0,5.0,0.4,5,8.0,0.625,3.0,3.0,6.0,0.0,0.0,2.0,0.0,1.0,31.0,26.0,3,13.0,10.0,0.7692307692307693,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,13.0,64.0,3.555555555555556,24.0,69.30000000000001,3.850000000000001,0.1144147120361193,W (+2),W (+2)
74.0,74,2023-03-24,22-077,HOU,MEM,1,30.23333333333333,4.0,6.0,0.667,0.0,1.0,0.0,2,2.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,1.0,3.0,10.0,8.2,-28,5.0,4.0,0.8,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,57.0,3.1666666666666665,7.399999999999999,77.5,4.305555555555555,0.1144147120361193,L (-10),L (-10)
75.0,75,2023-03-26,22-079,HOU,CLE,1,30.766666666666666,6.0,8.0,0.75,1.0,2.0,0.5,0,0.0,,2.0,2.0,4.0,2.0,0.0,0.0,3.0,4.0,13.0,8.6,-14,6.0,5.0,0.8333333333333334,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,32.0,1.7777777777777777,8.600000000000001,44.7,2.4833333333333334,0.1144147120361193,L (-13),L (-13)
76.0,76,2023-03-27,22-080,HOU,NYK,1,32.78333333333333,7.0,11.0,0.636,1.0,3.0,0.333,3,4.0,0.75,1.0,5.0,6.0,2.0,1.0,0.0,1.0,1.0,18.0,15.9,-28,8.0,6.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,11.0,48.0,2.6666666666666665,14.699999999999998,66.2,3.677777777777778,0.1144147120361193,L (-5),L (-5)
77.0,77,2023-03-29,22-082,HOU,BRK,1,33.75,6.0,13.0,0.462,3.0,5.0,0.6,0,0.0,,2.0,5.0,7.0,1.0,0.0,0.0,0.0,2.0,15.0,11.1,-6,8.0,3.0,0.375,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,59.0,3.2777777777777777,11.099999999999996,75.80000000000001,4.211111111111112,0.1144147120361193,L (-37),L (-37)
78.0,78,2023-03-31,22-084,HOU,DET,1,35.36666666666667,3.0,6.0,0.5,0.0,2.0,0.0,9,12.0,0.75,1.0,5.0,6.0,1.0,0.0,2.0,0.0,3.0,15.0,13.9,20,4.0,3.0,0.75,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,53.0,2.9444444444444446,10.299999999999995,72.69999999999999,4.038888888888888,0.1144147120361193,L (-17),L (-17)
79.0,79,2023-04-02,22-086,HOU,LAL,1,28.316666666666663,5.0,8.0,0.625,1.0,2.0,0.5,0,0.0,,3.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,11.0,9.4,-16,6.0,4.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,53.0,2.9444444444444446,9.4,66.0,3.6666666666666665,0.1144147120361193,L (-22),L (-22)
80.0,80,2023-04-04,22-088,HOU,DEN,1,27.3,5.0,8.0,0.625,0.0,0.0,,2,3.0,0.667,2.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,12.0,9.8,11,8.0,5.0,0.625,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,7.0,74.0,4.111111111111111,9.0,91.2,5.066666666666666,0.1144147120361193,L (-9),L (-9)
81.0,81,2023-04-07,22-091,HOU,CHO,1,39.05,7.0,10.0,0.7,0.0,0.0,,0,2.0,0.0,2.0,4.0,6.0,3.0,2.0,0.0,1.0,1.0,14.0,14.3,3,10.0,7.0,0.7,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,54.0,3.0,14.3,65.8,3.655555555555555,0.1144147120361193,W (+6),W (+6)
82.0,82,2023-04-09,22-093,HOU,WAS,1,21.03333333333333,5.0,12.0,0.417,0.0,2.0,0.0,2,2.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,12.0,6.8,-4,10.0,5.0,0.5,75,31,31,57,4,47,45,79,31,76,64,59,82,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,59.0,82.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,2.0,58.0,3.2222222222222223,6.000000000000001,71.2,3.955555555555556,0.1144147120361193,L (-25),L (-25)
