Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
22,22,19,2022-11-30,27-156,WAS,@,BRK,L (-6),1,28:54,2.0,6.0,.333,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,3.0,1.0,0.0,2.0,3.0,4.0,1.7,-5,5.0,2.0,0.4,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,47.0,2.611111111111111,1.7000000000000002,66.3,3.683333333333333
23,23,20,2022-12-02,27-158,WAS,@,CHO,L (-1),1,25:32,4.0,6.0,.667,2.0,3.0,.667,2,2.0,1.000,1.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,12.0,14.4,+1,3.0,2.0,0.6666666666666666,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,15.0,57.0,3.1666666666666665,13.6,70.0,3.888888888888889
24,24,21,2022-12-04,27-160,WAS,,LAL,L (-11),1,30:59,6.0,14.0,.429,2.0,6.0,.333,0,0.0,,0.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,14.0,8.3,-15,8.0,4.0,0.5,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,72.0,4.0,8.3,83.30000000000001,4.627777777777778
25,25,22,2022-12-07,27-163,WAS,@,CHI,L (-4),1,37:15,7.0,13.0,.538,2.0,6.0,.333,1,1.0,1.000,0.0,2.0,2.0,8.0,0.0,1.0,3.0,3.0,17.0,13.4,-7,7.0,5.0,0.7142857142857143,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,11.0,52.0,2.888888888888889,13.000000000000004,73.99999999999999,4.111111111111111
26,26,23,2022-12-09,27-165,WAS,@,IND,L (-10),1,34:29,3.0,9.0,.333,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,1.0,3.0,7.0,3.8,-13,5.0,2.0,0.4,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,63.0,3.5,3.799999999999999,83.6,4.644444444444444
27,27,,2022-12-10,27-166,WAS,,LAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,61.0,3.388888888888889,0.0,74.8,4.155555555555555
28,28,,2022-12-12,27-168,WAS,,BRK,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,66.0,3.6666666666666665,0.0,81.79999999999998,4.544444444444443
29,29,24,2022-12-14,27-170,WAS,@,DEN,L (-13),1,27:30,7.0,11.0,.636,4.0,7.0,.571,2,3.0,.667,0.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,20.0,19.4,-1,4.0,3.0,0.75,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,14.0,65.0,3.611111111111111,18.6,80.80000000000001,4.48888888888889
30,30,25,2022-12-17,27-173,WAS,@,LAC,L (-9),1,30:54,5.0,9.0,.556,2.0,2.0,1.000,0,0.0,,0.0,3.0,3.0,5.0,1.0,0.0,1.0,2.0,12.0,11.3,-6,7.0,3.0,0.4285714285714285,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,11.0,45.0,2.5,11.299999999999995,50.49999999999999,2.8055555555555554
31,31,26,2022-12-18,27-174,WAS,@,LAL,L (-2),1,28:56,3.0,10.0,.300,1.0,5.0,.200,0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,7.0,4.4,-12,5.0,2.0,0.4,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,67.0,3.7222222222222223,4.399999999999998,80.50000000000001,4.472222222222223
32,32,27,2022-12-20,27-176,WAS,@,PHO,W (+3),1,36:23,4.0,10.0,.400,1.0,2.0,.500,0,1.0,.000,1.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,9.0,10.0,+11,8.0,3.0,0.375,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,56.0,3.111111111111111,9.999999999999998,75.89999999999999,4.216666666666666
33,33,28,2022-12-22,27-178,WAS,@,UTA,L (-8),1,30:16,2.0,5.0,.400,1.0,3.0,.333,0,1.0,.000,0.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,5.0,3.5,+3,2.0,1.0,0.5,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,60.0,3.333333333333333,3.5,77.7,4.316666666666666
34,34,29,2022-12-23,27-179,WAS,@,SAC,W (+14),1,32:49,4.0,7.0,.571,2.0,5.0,.400,6,6.0,1.000,0.0,2.0,2.0,5.0,3.0,0.0,0.0,1.0,16.0,19.4,+4,2.0,2.0,1.0,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,13.0,74.0,4.111111111111111,17.000000000000007,85.00000000000001,4.722222222222223
35,35,30,2022-12-27,27-183,WAS,,PHI,W (+5),1,29:45,3.0,9.0,.333,0.0,3.0,.000,2,2.0,1.000,1.0,3.0,4.0,7.0,0.0,0.0,1.0,4.0,8.0,6.8,+6,6.0,3.0,0.5,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,50.0,2.7777777777777777,5.999999999999998,72.0,4.0
36,36,31,2022-12-28,27-184,WAS,,PHO,W (+25),1,30:33,4.0,8.0,.500,1.0,2.0,.500,3,3.0,1.000,1.0,5.0,6.0,8.0,0.0,0.0,0.0,2.0,12.0,15.0,+10,6.0,3.0,0.5,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,15.0,76.0,4.222222222222222,13.799999999999995,94.09999999999998,5.227777777777777
37,37,32,2022-12-30,27-186,WAS,@,ORL,W (+19),1,27:45,4.0,5.0,.800,1.0,2.0,.500,3,4.0,.750,0.0,3.0,3.0,10.0,1.0,0.0,2.0,1.0,12.0,16.2,+21,3.0,3.0,1.0,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,15.0,78.0,4.333333333333333,15.0,76.69999999999999,4.26111111111111
38,38,33,2023-01-01,27-188,WAS,@,MIL,W (+23),1,25:18,3.0,7.0,.429,1.0,5.0,.200,0,0.0,,0.0,3.0,3.0,4.0,0.0,1.0,2.0,0.0,7.0,5.7,+7,2.0,2.0,1.0,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,83.0,4.611111111111111,5.699999999999998,93.59999999999998,5.199999999999999
39,39,34,2023-01-03,27-190,WAS,@,MIL,L (-10),1,29:45,3.0,9.0,.333,1.0,3.0,.333,1,1.0,1.000,2.0,6.0,8.0,6.0,1.0,0.0,0.0,1.0,8.0,10.9,-9,6.0,2.0,0.3333333333333333,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,13.0,56.0,3.111111111111111,10.499999999999996,75.89999999999999,4.216666666666666
40,40,35,2023-01-06,27-193,WAS,@,OKC,L (-17),1,25:56,4.0,8.0,.500,1.0,3.0,.333,1,2.0,.500,0.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,10.0,5.9,-14,5.0,3.0,0.6,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,47.0,2.611111111111111,5.499999999999999,63.1,3.5055555555555555
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,36,2023-01-09,27-196,WAS,,NOP,L (-20),1,26:31,6.0,8.0,.750,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,9.0,0.0,0.0,3.0,0.0,13.0,13.4,-12,6.0,5.0,0.8333333333333334,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,12.0,49.0,2.7222222222222223,13.4,58.6,3.2555555555555555
43,42,37,2023-01-11,27-198,WAS,,CHI,W (+3),1,28:34,7.0,13.0,.538,1.0,3.0,.333,2,2.0,1.000,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,17.0,12.4,+7,10.0,6.0,0.6,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,55.0,3.055555555555556,11.6,55.79999999999999,3.0999999999999996
44,43,,2023-01-13,27-200,WAS,,NYK,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,57.0,3.1666666666666665,0.0,68.89999999999999,3.8277777777777775
45,44,38,2023-01-16,27-203,WAS,,GSW,L (-9),1,31:16,6.0,13.0,.462,3.0,4.0,.750,2,2.0,1.000,0.0,4.0,4.0,10.0,2.0,0.0,1.0,4.0,17.0,17.9,-3,9.0,3.0,0.3333333333333333,45,40,54,59,38,60,5,4,4,20,42,53,52,6,29,38,10,34,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,9.0,63.0,49.0,11.0,56.0,10.0,0.7627118644067796,0.8,0.7297297297297297,0.7564102564102564,0.76,0.7894736842105263,0.8333333333333334,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6774193548387096,0.0,0.8153846153846154,0.8125,0.6666666666666666,0.4603174603174603,0.7755102040816326,0.9090909090909092,0.6071428571428571,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,17.0,54.0,3.0,17.099999999999998,69.19999999999999,3.8444444444444437
